Glassy carbon of AlfaAesar		
Data was measured at SPring8 Bl03 and properly corrected with a glassy carbon from NIST SRM 3600		
q	i	s
0	0.198098	0
0.000449	0.203115	0
0.000898	0.19886	0
0.001348	0.20116401	0
0.001797	0.19689301	0
0.002246	0.19906899	0
0.002695	0.202979	0
0.003144	0.207849	0
0.003594	0.58426499	0
0.004043	7.513083	0
0.004492	25.703529	0
0.004941	32.232349	0
0.00539	31.22142	0
0.00584	30.31184	0
0.006289	29.701077	0
0.006738	29.086632	0
0.007187	28.661446	0
0.007636	28.283318	0
0.008086	28.048695	0
0.008535	27.735743	0
0.008984	27.523579	0
0.009433	27.291183	0
0.009882	27.140984	0
0.010332	26.992363	0
0.010781	26.671652	0
0.01123	26.616364	0
0.011679	26.465277	0
0.012128	26.31756	0
0.012578	26.22238	0
0.013027	26.134502	0
0.013476	26.049461	0
0.013925	25.909178	0
0.014374	25.741583	0
0.014824	25.735636	0
0.015273	25.665167	0
0.015721999	25.546429	0
0.016171001	25.458178	0
0.016620001	25.394232	0
0.017069999	25.310797	0
0.017519001	25.255552	0
0.017968001	25.168945	0
0.018417001	25.003304	0
0.018866001	24.967108	0
0.019316001	24.875828	0
0.019765001	24.783525	0
0.020214001	24.687016	0
0.020663001	24.671049	0
0.021112001	24.581352	0
0.021562001	24.538183	0
0.022011001	24.44445	0
0.022460001	24.397701	0
0.022909001	24.34243	0
0.023358	24.283894	0
0.023808001	24.210901	0
0.024257001	24.177088	0
0.024706	24.107246	0
0.025155	24.039379	0
0.025604	23.991667	0
0.026053	23.948673	0
0.026503	23.87162	0
0.026952	23.836948	0
0.027401	23.775661	0
0.02785	23.720657	0
0.028299	23.635485	0
0.028749	23.617121	0
0.029198	23.548349	0
0.029647	23.502626	0
0.030096	23.446224	0
0.030545	23.441784	0
0.030995	23.343077	0
0.031443998	23.340494	0
0.031893	23.322491	0
0.032342002	23.216425	0
0.032791	23.181261	0
0.033240002	23.168417	0
0.033690002	23.097273	0
0.034139	23.062998	0
0.034588002	23.024961	0
0.035037	23.004385	0
0.035486002	22.936382	0
0.035936002	22.888557	0
0.036385	22.836435	0
0.036834002	22.851315	0
0.037283	22.803976	0
0.037732001	22.747686	0
0.038182002	22.704733	0
0.038631	22.693153	0
0.039080001	22.620049	0
0.039528999	22.623955	0
0.039978001	22.572947	0
0.040426999	22.541334	0
0.040876999	22.537077	0
0.041326001	22.491816	0
0.041774999	22.451118	0
0.042224001	22.418926	0
0.042672999	22.402233	0
0.043122001	22.277287	0
0.043572001	22.339743	0
0.044020999	22.323877	0
0.044470001	22.289209	0
0.044918999	22.260201	0
0.045368001	22.265133	0
0.045818001	22.263365	0
0.046266999	22.213499	0
0.046716001	22.191877	0
0.047164999	22.168547	0
0.047614001	22.150057	0
0.048062999	22.151764	0
0.048512999	22.111177	0
0.048962001	22.086287	0
0.049410999	22.073662	0
0.049860001	22.052498	0
0.050308999	22.056477	0
0.050758	22.0343	0
0.051208001	22.012062	0
0.051656999	22.010778	0
0.052106	21.997204	0
0.052554999	21.99892	0
0.053004	21.981798	0
0.053452998	21.962996	0
0.053902999	21.944113	0
0.054352	21.923662	0
0.054800998	21.900368	0
0.05525	21.906969	0
0.055698998	21.87648	0
0.056148	21.868128	0
0.056598	21.873697	0
0.057046998	21.839218	0
0.057496	21.844473	0
0.057944998	21.822803	0
0.058394	21.831688	0
0.058843002	21.813654	0
0.059292	21.802925	0
0.059742	21.798347	0
0.060191002	21.784376	0
0.06064	21.793589	0
0.061089002	21.777218	0
0.061538	21.759344	0
0.061987001	21.765953	0
0.062437002	21.755939	0
0.062886	21.76059	0
0.063335001	21.761917	0
0.063784003	21.734343	0
0.064232998	21.72438	0
0.064681999	21.715118	0
0.065131001	21.71299	0
0.065581001	21.728333	0
0.066030003	21.690252	0
0.066478997	21.700266	0
0.066927999	21.685839	0
0.067377001	21.67127	0
0.067826003	21.652164	0
0.068274997	21.663675	0
0.068724997	21.672331	0
0.069173999	21.663368	0
0.069623001	21.65114	0
0.070072003	21.628229	0
0.070520997	21.655697	0
0.070969999	21.638239	0
0.071419001	21.624456	0
0.071869001	21.621883	0
0.072318003	21.616585	0
0.072766997	21.610491	0
0.073215999	21.574348	0
0.073665	21.598574	0
0.074114002	21.56662	0
0.074562997	21.561295	0
0.075011998	21.54693	0
0.075461999	21.558105	0
0.075911	21.539055	0
0.076360002	21.522867	0
0.076808996	21.502863	0
0.077257998	21.50737	0
0.077707	21.473425	0
0.078156002	21.468845	0
0.078605004	21.452372	0
0.079054996	21.434608	0
0.079503998	21.423716	0
0.079953	21.414461	0
0.080402002	21.399513	0
0.080851004	21.391426	0
0.081299998	21.378359	0
0.081749	21.365753	0
0.082198001	21.349817	0
0.082648002	21.313896	0
0.083097003	21.30974	0
0.083545998	21.283827	0
0.083995	21.272423	0
0.084444001	21.237305	0
0.084893003	21.233116	0
0.085341997	21.20961	0
0.085790999	21.175093	0
0.086240001	21.170914	0
0.086690001	21.141125	0
0.087139003	21.104996	0
0.087587997	21.084955	0
0.088036999	21.063864	0
0.088486001	21.042452	0
0.088935003	21.022329	0
0.089383997	20.997135	0
0.089832999	20.956602	0
0.090282001	20.944483	0
0.090731002	20.915119	0
0.091181003	20.87771	0
0.091629997	20.86311	0
0.092078999	20.828693	0
0.092528	20.791164	0
0.092977002	20.75481	0
0.093425997	20.723169	0
0.093874998	20.70767	0
0.094324	20.664761	0
0.094773002	20.635057	0
0.095221996	20.615942	0
0.095670998	20.586596	0
0.09612	20.5532	0
0.09657	20.515875	0
0.097019002	20.471428	0
0.097468004	20.427223	0
0.097916998	20.408819	0
0.098366	20.355707	0
0.098815002	20.319008	0
0.099264003	20.27491	0
0.099712998	20.239311	0
0.100162	20.193785	0
0.100611	20.169056	0
0.10106	20.117985	0
0.101509	20.089161	0
0.101958	20.038227	0
0.102408	19.993933	0
0.102857	19.959238	0
0.103306	19.906597	0
0.103755	19.857037	0
0.104204	19.821701	0
0.104653	19.770569	0
0.105102	19.747837	0
0.105551	19.669859	0
0.106	19.629692	0
0.106449	19.573271	0
0.106898	19.535625	0
0.107347	19.492128	0
0.107796	19.44705	0
0.108245	19.396563	0
0.108694	19.346989	0
0.109143	19.301781	0
0.109592	19.241417	0
0.110041	19.185263	0
0.110491	19.124779	0
0.11094	19.075697	0
0.111389	19.028572	0
0.111838	18.97024	0
0.112287	18.916433	0
0.112736	18.87406	0
0.113185	18.816481	0
0.113634	18.7495	0
0.114083	18.700937	0
0.114532	18.634628	0
0.114981	18.581209	0
0.11543	18.513851	0
0.115879	18.476864	0
0.116328	18.401382	0
0.116777	18.357224	0
0.117226	18.28405	0
0.117675	18.216509	0
0.118124	18.167955	0
0.118573	18.118954	0
0.119022	18.057356	0
0.119471	17.978113	0
0.11992	17.93088	0
0.120369	17.859276	0
0.120818	17.808336	0
0.121267	17.737293	0
0.121716	17.679802	0
0.122165	17.622059	0
0.122614	17.556023	0
0.123063	17.505709	0
0.123512	17.424196	0
0.123961	17.365076	0
0.12441	17.307636	0
0.124859	17.232925	0
0.12530801	17.164167	0
0.12575699	17.10833	0
0.126206	17.044886	0
0.126655	16.976385	0
0.127104	16.918694	0
0.127553	16.842058	0
0.128002	16.77162	0
0.128451	16.712011	0
0.12890001	16.637127	0
0.12934899	16.58399	0
0.129798	16.510332	0
0.130247	16.44352	0
0.130696	16.364733	0
0.131145	16.304459	0
0.131594	16.240658	0
0.132043	16.176168	0
0.13249201	16.101748	0
0.13294099	16.047047	0
0.13338999	15.966508	0
0.133839	15.90709	0
0.134288	15.839162	0
0.134737	15.770311	0
0.135186	15.696233	0
0.135635	15.637195	0
0.13608401	15.56164	0
0.13653301	15.497451	0
0.13698199	15.430471	0
0.137431	15.372099	0
0.13788	15.295939	0
0.138329	15.231067	0
0.138778	15.160805	0
0.139227	15.094763	0
0.13967501	15.021185	0
0.14012399	14.971895	0
0.14057299	14.899387	0
0.141022	14.822732	0
0.141471	14.757064	0
0.14192	14.683893	0
0.142369	14.619829	0
0.142818	14.551765	0
0.14326701	14.479073	0
0.14371599	14.411702	0
0.14416499	14.348109	0
0.144614	14.274812	0
0.145063	14.20248	0
0.145512	14.140086	0
0.145961	14.069547	0
0.14641	14.004302	0
0.14685801	13.936609	0
0.14730699	13.867894	0
0.147756	13.801746	0
0.148205	13.726647	0
0.148654	13.669309	0
0.149103	13.595768	0
0.149552	13.536358	0
0.150001	13.461098	0
0.15045001	13.397055	0
0.15089899	13.319704	0
0.15134799	13.259406	0
0.151797	13.197142	0
0.152245	13.131919	0
0.152694	13.062766	0
0.153143	12.994007	0
0.15359201	12.928935	0
0.15404101	12.863985	0
0.15448999	12.794179	0
0.154939	12.728116	0
0.155388	12.670091	0
0.155837	12.599404	0
0.156286	12.532051	0
0.156734	12.472821	0
0.15718301	12.412099	0
0.15763199	12.346402	0
0.158081	12.275139	0
0.15853	12.210339	0
0.158979	12.149206	0
0.159428	12.078479	0
0.159877	12.022935	0
0.16032501	11.95178	0
0.16077401	11.887119	0
0.16122299	11.827209	0
0.161672	11.765507	0
0.162121	11.698611	0
0.16257	11.641341	0
0.163019	11.576901	0
0.163468	11.509839	0
0.16391601	11.456381	0
0.16436499	11.397922	0
0.164814	11.329146	0
0.165263	11.265238	0
0.165712	11.200918	0
0.166161	11.146399	0
0.166609	11.083873	0
0.16705801	11.016373	0
0.16750699	10.956349	0
0.16795599	10.899858	0
0.168405	10.839726	0
0.168854	10.778892	0
0.169303	10.717774	0
0.169751	10.661135	0
0.17020001	10.60559	0
0.17064901	10.54015	0
0.17109799	10.479227	0
0.171547	10.420255	0
0.171995	10.364807	0
0.172444	10.303056	0
0.172893	10.245915	0
0.173342	10.194519	0
0.17379101	10.131025	0
0.17423999	10.074844	0
0.174688	10.015243	0
0.175137	9.9568682	0
0.175586	9.9035072	0
0.176035	9.849843	0
0.176484	9.7949257	0
0.17693201	9.7371387	0
0.17738099	9.6834059	0
0.17783	9.6234274	0
0.178279	9.5690613	0
0.178728	9.5143967	0
0.179176	9.4618397	0
0.179625	9.4045744	0
