Data downloaded from https://www-s.nist.gov/srmors/view_datafiles.cfm?srm=3600.		
q	i	s
0.00827568	34.93338	0
0.0088845	34.427156	0
0.00954735	34.04217	0
0.010269	33.698553	0
0.0110578	33.352529	0
0.0119183	33.027533	0
0.0128611	32.665045	0
0.0138934	32.306665	0
0.0150251	31.970485	0
0.0162685	31.559099	0
0.0176365	31.183763	0
0.0191432	30.861805	0
0.0208051	30.5143	0
0.0226422	30.084982	0
0.024675	29.690414	0
0.0269289	29.249965	0
0.0294317	28.88997	0
0.0322156	28.449341	0
0.0353181	28.06598	0
0.0387827	27.704965	0
0.0426588	27.331304	0
0.0470039	26.974065	0
0.0518858	26.676952	0
0.0573814	26.401158	0
0.0635829	26.177427	0
0.0705962	25.904683	0
0.0785484	25.528734	0
0.0875863	24.917743	0
0.0978854	23.946472	0
0.109655	22.472101	0
0.114312	21.777228	0
0.118395	21.112938	0
0.122624	20.40111	0
0.123142	20.28706	0
0.127004	19.685107	0
0.13154	18.909809	0
0.136239	18.089242	0
0.138643	17.679572	0
0.141105	17.264117	0
0.146145	16.372848	0
0.151365	15.45835	0
0.156513	14.5877	0
0.156771	14.563071	0
0.162371	13.616671	0
0.16817	12.668549	0
0.174177	11.752287	0
0.177181	11.31146	0
0.180398	10.862157	0
0.186841	9.961979	0
0.193515	9.116906	0
0.200427	8.325578	0
0.201165	8.224897	0
0.207586	7.541931	0
0.215	6.854391	0
0.222679	6.21607	0
0.229095	5.715911	0
0.230633	5.582366	0
0.238871	4.999113	0
0.247402	4.463604	0
